column,missing_count,missing_percent
age,0,0.0
gender,0,0.0
job_type,0,0.0
daily_social_media_time,2765,9.216666666666667
social_platform_preference,0,0.0
number_of_notifications,0,0.0
work_hours_per_day,0,0.0
perceived_productivity_score,1614,5.38
actual_productivity_score,2365,7.883333333333334
stress_level,1904,6.346666666666668
sleep_hours,2598,8.66
screen_time_before_sleep,2211,7.37
breaks_during_work,0,0.0
uses_focus_apps,0,0.0
has_digital_wellbeing_enabled,0,0.0
coffee_consumption_per_day,0,0.0
days_feeling_burnout_per_month,0,0.0
weekly_offline_hours,0,0.0
job_satisfaction_score,2730,9.1
