feature,importance
perceived_productivity_score,0.78597987
job_satisfaction_score,0.04914223
uses_focus_apps,0.00782093
gender_Other,0.0077912416
job_type_Health,0.0070290603
weekly_offline_hours,0.0070097055
work_life_balance,0.0069590784
digital_distraction_score,0.0069379336
sleep_hours,0.0067497455
gender_Male,0.006736213
work_hours_per_day,0.0066264905
screen_time_before_sleep,0.0064567383
days_feeling_burnout_per_month,0.006454718
job_type_Finance,0.0064399713
social_platform_preference_Telegram,0.0063044825
breaks_during_work,0.0062524485
coffee_consumption_per_day,0.0062130066
job_type_Unemployed,0.0061425483
social_platform_preference_Instagram,0.006117334
has_digital_wellbeing_enabled,0.006087933
stress_level,0.0060489355
job_type_IT,0.0059375325
daily_social_media_time,0.005781826
number_of_notifications,0.005717604
social_platform_preference_TikTok,0.0056014084
job_type_Student,0.005535794
social_platform_preference_Twitter,0.005426606
age,0.004698662
